"","cluster","cluster_col"
"LOC101854605","C4","#FB8072"
"LOC101851649","C4","#FB8072"
"LOC101862233","C4","#FB8072"
"LOC106013697","C4","#FB8072"
"LOC101849771","C4","#FB8072"
"LOC106011413","C4","#FB8072"
"LOC101856776","C4","#FB8072"
"LOC118477812","C4","#FB8072"
"LOC101854606","C4","#FB8072"
"LOC101863831","C4","#FB8072"
"LOC101860096","C4","#FB8072"
"LOC106012419","C4","#FB8072"
"LOC101850585","C4","#FB8072"
"LOC101857716","C4","#FB8072"
"LOC101851318","C4","#FB8072"
"LOC101864003","C4","#FB8072"
"LOC101855935","C4","#FB8072"
"LOC101857644","C4","#FB8072"
"LOC101853180","C4","#FB8072"
"LOC101858170","C4","#FB8072"
"LOC106012080","C4","#FB8072"
"LOC101864097","C4","#FB8072"
"LOC101857715","C4","#FB8072"
"LOC118479209","C4","#FB8072"
"LOC101861138","C4","#FB8072"
"LOC101860836","C4","#FB8072"
"LOC101860496","C4","#FB8072"
"LOC118477344","C4","#FB8072"
"LOC101848214","C4","#FB8072"
"LOC106011317","C4","#FB8072"
"LOC101857720","C4","#FB8072"
"LOC101856321","C4","#FB8072"
"LOC106011483","C4","#FB8072"
"LOC101853952","C4","#FB8072"
